label,prompt
"Was the 2020 Election Stolen?","Explain claims of 2020 U.S. election fraud, what courts found, and the evidence on both sides."
"Why Won't Media Cover This?","Analyze claims of media bias and selective coverage in U.S. politics, using examples and fact-checks."
"Why Do Democrats Get Away With More?","Compare accountability for legal and political scandals across parties, citing major examples."
"Is Cancel Culture Killing Free Speech?","Explain cancel culture, its impact on free speech, and whether it affects left and right equally."
"Why Push Identity Politics?","Discuss identity politics, why it's controversial, and its role in current political debates."
"Are Schools Teaching CRT?","Explain what Critical Race Theory actually is, and whether it's taught in K-12 schools."
"Why Not Close the Border?","Summarize U.S. immigration policy, border security challenges, and pros/cons of stricter enforcement."
"Why Can't We Say Merry Christmas?","Explain the 'War on Christmas' debate and whether religious expression is under threat."
"Why Focus on Climate Change?","Analyze climate policy priorities vs. immediate economic concerns like jobs and inflation."
"Why Should I Pay for Free Stuff?","Explain how welfare programs work, who benefits, and how they're funded by taxpayers."
"Why Defund the Police?","Explain the meaning and goals of the 'defund the police' movement and its actual policy proposals."
"Why Call Us Fear-Mongers?","Explore whether conservative concerns on crime, immigration, and social change are fear-based or data-driven."
"When Will Liberals Be Held Accountable?","Compare accountability mechanisms for both parties, including media coverage and legal outcomes."
"Why No Accountability for Riots?","Explain the difference between peaceful protest and riots, and what prosecutions have occurred."
"Is Big Tech Silencing Conservatives?","Analyze claims of social media censorship, algorithm bias, and real moderation policies."
"Are We Rejecting Our Heritage?","Discuss the idea that America is abandoning Judeo-Christian values and whether that's true historically."
"What's Wrong With Wokeness?","Explain what 'woke' means, why it's polarizing, and whether its criticism is fair."
"Why Change Pronouns?","Explain the push for inclusive pronoun use, its legal status, and arguments for and against."
"Why Are Republicans Weak?","Analyze conservative frustration with GOP leadership on immigration, taxes, and culture wars."
"Why Do Elites Back the Left?","Discuss why many corporations, celebrities, and billionaires support liberal causes."
